source,target,weight
"Child, David Lee","Chapman, Maria Weston",21
"Child, David Lee","Garrison, William Lloyd",5
"Child, David Lee","Palfrey, John Gorham",1
"Child, David Lee","Weston, Caroline",1
"Child, Lydia Maria","Whipple, Charles",1
Childs,"Garrison, William Lloyd",1
"Churchill, Elizabeth Kitredge","Garrison, William Lloyd",1
Cicero of the West.,"Garrison, William Lloyd",1
Citizen.,"Garrison, William Lloyd",1
"Claflin, Jehiel.","Garrison, William Lloyd",5
"Claflin, Jehiel.","May, Samuel",1
"Clapp, William Warland","Garrison, William Lloyd",3
"Clark, David H.","Garrison, William Lloyd",1
"Clark, Frederick.","Garrison, William Lloyd",1
"Clark, George W.","Garrison, William Lloyd",1
"Clark, Helen P. Bright.","Garrison, William Lloyd",4
"Clark, James.","Garrison, William Lloyd",1
"Clarke, Albert","Garrison, William Lloyd",1
"Clarke, Edward H.","Garrison, William Lloyd",1
"Clarke, Enos.","Garrison, William Lloyd",1
"Clarke, James Freeman","Chapman, Maria Weston",1
"Clarke, James Freeman","Garrison, William Lloyd",2
"Clarke, James Freeman","May, Samuel",1
"Clarke, James L.","Garrison, William Lloyd",1
"Clarke, Mary G.","Garrison, William Lloyd",2
"Clarke, William Travis","Garrison, William Lloyd",1
"Clarkson, Thomas","Denison, Charles Wheeler",1
"Clarkson, Thomas","Lofft, Capel",1
"Clarkson, Thomas","Sedgwick, Theodore",1
"Cleveland, Charles D.","Garrison, William Lloyd",2
"Coates, Edwin H.","Chapman, Maria Weston",9
"Coates, William.","Garrison, William Lloyd",1
"Cobb, Moses.","Garrison, William Lloyd",1
"Cobb, Samuel C.","Garrison, William Lloyd",4
"Cobb, William N.","Garrison, William Lloyd",1
"Cochin, Augustin","Garrison, William Lloyd",1
"Cochran, Euphemia.","Garrison, William Lloyd",1
"Coffin, Joshua","Garrison, William Lloyd",1
"Cogan, Sarah.","Chapman, Maria Weston",5
"Cogan, Sarah.","Garrison, William Lloyd",2
"Colburn, Lizzie S.","Weston, Deborah",1
"Colesworthy, D. C.","Garrison, William Lloyd",4
"Colfax, Richard H.","Bleakley, James T. M.",1
"Collings, Edward J.","Garrison, William Lloyd",1
