commodity,measure,year,price
mixed grain,quarteranche,1612,15
rye,quarteranche,1612,13
barley,boisseau,1612,8
oats,boisseau,1612,6
hempseed,boisseau,1612,20
peas,boisseau,1612,21
beans,boisseau,1612,18
lentils,boisseau,1612,15
rapeseed,boisseau,1612,32
Dijon best wine,queue,1612,700
village best wine,queue,1612,440
village good wine,queue,1612,380
walnut oil,pint,1612,16
rapeseed oil,pint,1612,12
hempseed oil,pint,1612,14
wax,pound,1612,20
chickpeas,boisseau,1612,15
best wheat,quarteranche,1613,22
good wheat,quarteranche,1613,19
mixed grain,quarteranche,1613,16
rye,quarteranche,1613,13
barley,boisseau,1613,8
oats,boisseau,1613,6
hempseed,boisseau,1613,25
peas,boisseau,1613,20
beans,boisseau,1613,17
lentils,boisseau,1613,15
rapeseed,boisseau,1613,36
Dijon best wine,queue,1613,1080
village best wine,queue,1613,720
village good wine,queue,1613,600
walnut oil,pint,1613,20
rapeseed oil,pint,1613,13
hempseed oil,pint,1613,16
wax,pound,1613,20
chickpeas,boisseau,1613,14
best wheat,quarteranche,1614,27
good wheat,quarteranche,1614,24
mixed grain,quarteranche,1614,22
rye,quarteranche,1614,20
barley,boisseau,1614,12
oats,boisseau,1614,6
hempseed,boisseau,1614,20
peas,boisseau,1614,20
beans,boisseau,1614,15
lentils,boisseau,1614,13
rapeseed,boisseau,1614,40
Dijon best wine,queue,1614,960
village best wine,queue,1614,640
village good wine,queue,1614,500
walnut oil,pint,1614,16
rapeseed oil,pint,1614,13
hempseed oil,pint,1614,14
wax,pound,1614,18
chickpeas,boisseau,1614,12
best wheat,quarteranche,1615,22.5
good wheat,quarteranche,1615,20
mixed grain,quarteranche,1615,18
rye,quarteranche,1615,17
barley,boisseau,1615,11
oats,boisseau,1615,7.5
hempseed,boisseau,1615,20
peas,boisseau,1615,22.5
beans,boisseau,1615,18
lentils,boisseau,1615,16
rapeseed,boisseau,1615,30
Dijon best wine,queue,1615,720
village best wine,queue,1615,480
village good wine,queue,1615,400
walnut oil,pint,1615,16
rapeseed oil,pint,1615,12
hempseed oil,pint,1615,14
wax,pound,1615,15
chickpeas,boisseau,1615,12
best wheat,quarteranche,1616,20
good wheat,quarteranche,1616,18
mixed grain,quarteranche,1616,15
rye,quarteranche,1616,13
barley,boisseau,1616,10
oats,boisseau,1616,8
hempseed,boisseau,1616,16
peas,boisseau,1616,20
beans,boisseau,1616,18
lentils,boisseau,1616,16
rapeseed,boisseau,1616,30
Dijon best wine,queue,1616,420
village best wine,queue,1616,300
village good wine,queue,1616,240
walnut oil,pint,1616,15
rapeseed oil,pint,1616,12
hempseed oil,pint,1616,12
wax,pound,1616,16
chickpeas,boisseau,1616,12
best wheat,quarteranche,1617,20
good wheat,quarteranche,1617,17
mixed grain,quarteranche,1617,14
rye,quarteranche,1617,12
barley,boisseau,1617,8
oats,boisseau,1617,6.5
hempseed,boisseau,1617,12
peas,boisseau,1617,20
beans,boisseau,1617,15
lentils,boisseau,1617,16
rapeseed,boisseau,1617,24
Dijon best wine,queue,1617,800
village best wine,queue,1617,540
village good wine,queue,1617,480
walnut oil,pint,1617,16
rapeseed oil,pint,1617,13
hempseed oil,pint,1617,13
wax,pound,1617,20
chickpeas,boisseau,1617,12
best wheat,quarteranche,1618,20
good wheat,quarteranche,1618,18
mixed grain,quarteranche,1618,15
rye,quarteranche,1618,12
barley,boisseau,1618,8
oats,boisseau,1618,7
hempseed,boisseau,1618,12
peas,boisseau,1618,18
beans,boisseau,1618,13
lentils,boisseau,1618,16
rapeseed,boisseau,1618,25
Dijon best wine,queue,1618,600
village best wine,queue,1618,400
village good wine,queue,1618,360
walnut oil,pint,1618,14
rapeseed oil,pint,1618,12
hempseed oil,pint,1618,10
wax,pound,1618,18
chickpeas,boisseau,1618,12
best wheat,quarteranche,1619,24
good wheat,quarteranche,1619,22
mixed grain,quarteranche,1619,18
rye,quarteranche,1619,15
barley,boisseau,1619,10
oats,boisseau,1619,7
hempseed,boisseau,1619,24
peas,boisseau,1619,20
beans,boisseau,1619,15
lentils,boisseau,1619,16
rapeseed,boisseau,1619,24
Dijon best wine,queue,1619,660
village best wine,queue,1619,480
village good wine,queue,1619,400
walnut oil,pint,1619,15
rapeseed oil,pint,1619,12
hempseed oil,pint,1619,15
wax,pound,1619,18
chickpeas,boisseau,1619,13
best wheat,quarteranche,1620,26
good wheat,quarteranche,1620,24
mixed grain,quarteranche,1620,20
rye,quarteranche,1620,17
barley,boisseau,1620,10
oats,boisseau,1620,6
hempseed,boisseau,1620,15
peas,boisseau,1620,20
beans,boisseau,1620,16
